"date","close","open","high","low","volume","change"
"21/07/2022","4.205,00","4.120,00","4.120,00","4.084,35","0,98K","-0,12"
"20/07/2022","4.210,00","4.084,35","4.125,00","4.084,35","1,08K","-0,06"
"19/07/2022","4.212,50","4.084,35","4.125,00","4.084,35","0,58K","3,08"
"18/07/2022","4.086,81","4.114,00","4.114,00","4.082,21","0,43K","-2,86"
"15/07/2022","4.207,00","4.098,16","4.121,00","4.082,21","0,32K","2,66"
"14/07/2022","4.098,16","4.098,16","4.098,16","4.080,21","0,01K","0,00"
"13/07/2022","4.098,16","4.089,00","4.098,16","4.084,91","0,46K","0,22"
"12/07/2022","4.089,00","4.087,50","4.090,55","4.087,50","1,04K","0,04"
"11/07/2022","4.087,50","4.085,00","4.090,55","4.080,92","0,72K","0,06"
"08/07/2022","4.085,00","4.086,50","4.093,00","4.075,92","1,10K","-0,04"
"07/07/2022","4.086,50","4.080,00","4.090,59","4.075,92","1,13K","0,16"
"06/07/2022","4.080,00","4.080,00","4.088,67","4.065,93","1,00K","0,00"
"05/07/2022","4.080,00","4.066,00","4.088,00","4.054,00","1,11K","0,34"
"04/07/2022","4.066,00","4.065,00","4.072,99","4.054,00","1,07K","0,02"
"01/07/2022","4.065,00","4.045,00","4.072,89","4.045,00","0,82K","0,49"
"30/06/2022","4.045,00","4.050,00","4.072,57","4.045,00","1,05K","-0,12"
"29/06/2022","4.050,00","4.050,00","4.066,70","4.045,95","0,96K","0,00"
"28/06/2022","4.050,00","4.040,50","4.054,16","4.040,50","1,07K","0,24"
"27/06/2022","4.040,50","4.052,59","4.054,08","4.035,22","0,63K","0,01"
"24/06/2022","4.040,00","4.045,00","4.052,59","4.035,00","0,54K","-0,12"
"23/06/2022","4.045,00","4.022,35","4.046,82","4.022,35","0,57K","-0,40"
"22/06/2022","4.061,18","4.035,00","4.040,00","4.022,35","0,94K","-0,16"
"21/06/2022","4.067,50","4.031,00","4.035,00","4.008,99","1,10K","0,05"
"20/06/2022","4.065,50","4.017,90","4.031,00","4.013,00","0,66K","0,22"
"17/06/2022","4.056,50","4.015,00","4.019,48","4.008,99","0,53K","-0,02"
"16/06/2022","4.057,50","4.010,00","4.017,90","3.990,00","0,98K","0,06"
"15/06/2022","4.055,00","4.015,00","4.017,90","4.009,38","1,01K","-0,06"
"14/06/2022","4.057,50","4.008,00","4.023,00","4.003,99","1,04K","0,09"
"13/06/2022","4.054,00","4.001,64","4.015,87","3.995,00","0,62K","0,00"
"10/06/2022","4.054,00","4.002,00","4.013,00","3.999,64","0,54K","0,07"
